# timestamp x y z roll pitch yaw
1751339159.599018574 0.000084300 -0.000150200 0.000895121 0.000004643 0.000148093 -0.000041764
1751339159.699853897 0.000840050 -0.000183239 -0.002588501 -0.000037498 0.000628852 -0.000043230
1751339159.800744295 -0.000156751 -0.000367260 0.001516592 -0.000093659 0.000331804 -0.000129676
1751339159.901599407 -0.001418166 -0.000643094 0.006348299 -0.000116524 -0.000047701 -0.000260266
1751339160.002438307 -0.002459371 -0.000933009 0.011385521 -0.000132646 -0.000241652 -0.000352237
1751339160.103312492 -0.003045998 -0.001017727 0.015966263 -0.000195619 -0.000117835 -0.000334121
1751339160.204154968 -0.003626065 -0.001206266 0.019632123 -0.000212145 0.000595021 -0.000373600
1751339160.304984093 -0.003334003 -0.001309934 0.023589669 -0.000148532 0.001290776 -0.000397249
1751339160.405834198 -0.003050368 -0.001530816 0.027897440 -0.000111038 0.001588438 -0.000448800
1751339160.506729126 -0.005215337 -0.001733035 0.027183279 -0.000133113 0.001980477 -0.000506041
1751339160.607556820 -0.007387427 -0.001919857 0.026903143 -0.000163976 0.002719838 -0.000577619
1751339160.708422184 -0.008894687 -0.002114190 0.027334230 -0.000114914 0.003586804 -0.000636757
1751339160.809259892 -0.009659909 -0.002317006 0.028310526 -0.000086051 0.004525150 -0.000691237
1751339160.910107374 -0.009992152 -0.002510759 0.029881099 -0.000071807 0.005176849 -0.000765051
1751339161.010983944 -0.008446664 -0.002542079 0.027602520 -0.000027359 0.006178197 -0.000818731
1751339161.111832619 -0.006607682 -0.002561025 0.026064184 0.000082395 0.007033347 -0.000861413
1751339161.212713242 -0.004521589 -0.002461106 0.024776490 0.000218954 0.007917683 -0.000845137
1751339161.313515663 -0.003516288 -0.002143445 0.021873940 0.000349344 0.009925986 -0.000660480
1751339161.414398193 -0.005148565 -0.001774422 0.033322901 0.000494559 0.009253335 -0.000529350
1751339161.515234709 -0.006088365 -0.001452361 0.044738829 0.000680477 0.008580035 -0.000410657
1751339161.616100788 -0.007971334 -0.001221379 0.050159812 0.000853259 0.009086869 -0.000324783
1751339161.716945171 -0.004640504 -0.000963343 0.054481909 0.000972689 0.007461351 -0.000179124
1751339161.817811012 -0.003751992 -0.000657394 0.066876382 0.001074794 0.007656113 -0.000033525
1751339161.918663502 0.006863091 -0.000496547 0.085982509 0.001197186 0.007520954 0.000098691
1751339162.019560814 0.005220364 -0.000462985 0.102285504 0.001272527 0.009405836 0.000206946
1751339162.120365143 0.016103320 -0.000481537 0.118082881 0.001312269 0.008446062 0.000295731
1751339162.221208096 0.010825636 -0.000337422 0.135600746 0.001361681 0.008327542 0.000434487
1751339162.322080612 0.000597598 -0.000256439 0.155820489 0.001437468 0.010857508 0.000517296
1751339162.422939062 -0.008811329 -0.000395556 0.175710946 0.001492538 0.013341783 0.000449845
1751339162.523788691 -0.015703011 -0.000424871 0.193900883 0.001527070 0.015015063 0.000292457
1751339162.624629974 -0.017207902 -0.000488010 0.209116369 0.001614685 0.016924908 0.000115903
1751339162.725491047 -0.017843960 -0.000716227 0.224196330 0.001802161 0.018899638 -0.000106825
1751339162.826347351 -0.019922547 -0.000683236 0.229973182 0.001962704 0.019239172 -0.000146200
1751339162.927201748 -0.022067394 -0.000773646 0.236715496 0.002074487 0.019406589 -0.000212951
1751339163.028065681 -0.023864646 -0.000811762 0.244152546 0.002212575 0.019852659 -0.000267367
1751339163.128903627 -0.024948936 -0.000896718 0.252105355 0.002381481 0.020634791 -0.000362398
1751339163.229772568 -0.025528561 -0.000861305 0.260782480 0.002550415 0.021613933 -0.000297227
1751339163.330655575 -0.026458107 -0.000881345 0.268623888 0.002631913 0.022789611 -0.000187049
1751339163.431461573 -0.028703088 -0.000913124 0.284581333 0.002724210 0.024022296 -0.000125476
1751339163.532309532 -0.031023707 -0.001040878 0.299995303 0.002853681 0.025299961 -0.000089189
1751339163.633207321 -0.031555030 -0.001171609 0.316520482 0.002937125 0.026577201 -0.000013434
1751339163.734083176 -0.031845611 -0.001390160 0.333559155 0.002955707 0.027841015 0.000076181
1751339163.834898949 -0.031868435 -0.001702596 0.350510120 0.002977860 0.029457405 0.000176758
1751339163.935730457 -0.033025406 -0.001829436 0.375991613 0.003109568 0.030381469 0.000285643
1751339164.036570787 -0.032791417 -0.001977924 0.398711473 0.003174808 0.031189324 0.000401609
1751339164.137460709 -0.032633454 -0.002219431 0.421194047 0.003180605 0.031868193 0.000501732
1751339164.238309860 -0.039606690 -0.002496866 0.435179055 0.003169655 0.036419675 0.000576213
1751339164.339160919 -0.044472080 -0.002915186 0.452837557 0.003168281 0.040910821 0.000499057
1751339164.440016270 -0.048509862 -0.003445422 0.470925003 0.003099523 0.045121763 0.000415764
1751339164.540864944 -0.051715981 -0.003947950 0.489109457 0.002985949 0.048992630 0.000287276
1751339164.641716957 -0.054546747 -0.004456887 0.507958770 0.002922607 0.052782133 0.000160992
1751339164.742570400 -0.048930150 -0.004931048 0.531300426 0.002910412 0.053954907 0.000056843
