# timestamp x y z roll pitch yaw
1751339159.599018574 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000
1751339159.800744295 -0.006115612 0.005342904 0.025685515 -0.000823321 -0.006191877 0.001283395
1751339160.002438307 0.000345199 0.013228871 0.048134860 -0.000588853 -0.002700924 -0.000100250
1751339160.204154968 0.001904984 0.021588020 0.063049346 -0.001651129 -0.003307596 -0.001351281
1751339160.405834198 0.003975700 0.009989492 0.081611797 0.000017684 -0.003748200 -0.002768074
1751339160.607556820 0.001483339 0.017701207 0.098782271 -0.005656665 -0.003603314 -0.003197635
1751339160.809259892 0.003534187 0.021384656 0.116400808 -0.001161537 -0.001524254 0.000331955
1751339161.010983944 0.006878805 0.009664045 0.138325110 -0.004992299 -0.003880812 0.001604391
1751339161.212713242 0.010687208 0.013101557 0.167065084 -0.002106235 -0.005083828 -0.002870688
1751339161.414398193 0.009253444 0.008802388 0.189066395 -0.002920115 -0.004090503 -0.000559109
1751339161.616100788 0.009328194 0.019132813 0.211160347 0.002400822 -0.002894814 -0.000208306
1751339161.817811012 0.011433460 0.008209412 0.236486167 -0.004362934 -0.005873368 0.001595791
1751339162.019560814 0.018666390 0.006996829 0.255653620 -0.002194631 -0.004438299 -0.001420995
1751339162.221208096 0.019804919 0.001562634 0.277912289 -0.004819246 -0.005009123 0.001314741
1751339162.422939062 0.020523889 0.014486923 0.305689991 -0.006054436 -0.007074050 -0.003946382
1751339162.624629974 0.022949209 0.016270535 0.316678345 -0.003926572 -0.005997049 -0.006281117
1751339162.826347351 0.024242813 0.023274120 0.338918388 -0.003117645 -0.010072933 -0.006685395
1751339163.028065681 0.019090017 0.024827868 0.357254744 -0.004952472 -0.010220413 -0.007365135
1751339163.229772568 0.028229464 0.015999708 0.374530494 -0.005284879 -0.004794035 -0.004242484
1751339163.431461573 0.023200316 0.013255434 0.401740283 -0.010448065 -0.006757504 -0.003968681
1751339163.633207321 0.025493035 0.016306862 0.423234254 -0.004526355 -0.008358094 -0.005417033
1751339163.834898949 0.030370036 0.015492733 0.440204173 -0.003852664 -0.005088813 -0.005174896
1751339164.036570787 0.031642713 0.016682718 0.471376240 -0.007934328 -0.011401791 -0.004400777
1751339164.238309860 0.026597539 0.008964634 0.493492514 -0.004723639 -0.009828484 -0.003391597
1751339164.440016270 0.031458568 0.010888362 0.512226880 -0.008128257 -0.007057856 -0.006166498
1751339164.641716957 0.032933243 0.022012325 0.531241119 -0.004423913 -0.007229479 -0.004113710
1751339164.843402863 0.040415101 0.017652230 0.557659447 -0.004556336 -0.010097388 -0.006297790
1751339165.045135498 0.040854793 0.013693373 0.584055722 -0.008012529 -0.009237703 -0.003338409
1751339165.246819496 0.040195134 0.018431431 0.612765074 -0.009751736 -0.008912768 -0.005248116
1751339165.448539734 0.034946509 0.021880448 0.625320971 -0.006091010 -0.009887999 -0.004956333
1751339165.650286198 0.038057841 0.006067509 0.648529887 -0.009302279 -0.010667614 -0.003513709
1751339165.851950407 0.035831314 0.007514589 0.670833528 -0.009187665 -0.008993705 -0.004358354
1751339166.053663731 0.039864354 0.011554460 0.694061637 -0.011626985 -0.010241921 -0.003584160
