timestamp_unix,timestamp_readable,x,y,z,roll,pitch,yaw
1751339159.5990186,2025-07-01 11:05:59.599,8.43e-05,-0.0001502,0.000895121,4.643e-06,0.000148093,-4.1764e-05
1751339159.699854,2025-07-01 11:05:59.699,0.00084005,-0.000183239,-0.002588501,-3.7498e-05,0.000628852,-4.323e-05
1751339159.8007443,2025-07-01 11:05:59.800,-0.000156751,-0.00036726,0.001516592,-9.3659e-05,0.000331804,-0.000129676
1751339159.9015994,2025-07-01 11:05:59.901,-0.001418166,-0.000643094,0.006348299,-0.000116524,-4.7701e-05,-0.000260266
1751339160.0024383,2025-07-01 11:06:00.002,-0.002459371,-0.000933009,0.011385521,-0.000132646,-0.000241652,-0.000352237
1751339160.1033125,2025-07-01 11:06:00.103,-0.003045998,-0.001017727,0.015966263,-0.000195619,-0.000117835,-0.000334121
1751339160.204155,2025-07-01 11:06:00.204,-0.003626065,-0.001206266,0.019632123,-0.000212145,0.000595021,-0.0003736
1751339160.304984,2025-07-01 11:06:00.304,-0.003334003,-0.001309934,0.023589669,-0.000148532,0.001290776,-0.000397249
1751339160.4058342,2025-07-01 11:06:00.405,-0.003050368,-0.001530816,0.02789744,-0.000111038,0.001588438,-0.0004488
1751339160.5067291,2025-07-01 11:06:00.506,-0.005215337,-0.001733035,0.027183279,-0.000133113,0.001980477,-0.000506041
1751339160.6075568,2025-07-01 11:06:00.607,-0.007387427,-0.001919857,0.026903143,-0.000163976,0.002719838,-0.000577619
1751339160.7084222,2025-07-01 11:06:00.708,-0.008894687,-0.00211419,0.02733423,-0.000114914,0.003586804,-0.000636757
1751339160.80926,2025-07-01 11:06:00.809,-0.009659909,-0.002317006,0.028310526,-8.6051e-05,0.00452515,-0.000691237
1751339160.9101074,2025-07-01 11:06:00.910,-0.009992152,-0.002510759,0.029881099,-7.1807e-05,0.005176849,-0.000765051
1751339161.010984,2025-07-01 11:06:01.010,-0.008446664,-0.002542079,0.02760252,-2.7359e-05,0.006178197,-0.000818731
1751339161.1118326,2025-07-01 11:06:01.111,-0.006607682,-0.002561025,0.026064184,8.2395e-05,0.007033347,-0.000861413
1751339161.2127132,2025-07-01 11:06:01.212,-0.004521589,-0.002461106,0.02477649,0.000218954,0.007917683,-0.000845137
1751339161.3135157,2025-07-01 11:06:01.313,-0.003516288,-0.002143445,0.02187394,0.000349344,0.009925986,-0.00066048
1751339161.4143982,2025-07-01 11:06:01.414,-0.005148565,-0.001774422,0.033322901,0.000494559,0.009253335,-0.00052935
1751339161.5152347,2025-07-01 11:06:01.515,-0.006088365,-0.001452361,0.044738829,0.000680477,0.008580035,-0.000410657
1751339161.6161008,2025-07-01 11:06:01.616,-0.007971334,-0.001221379,0.050159812,0.000853259,0.009086869,-0.000324783
1751339161.7169452,2025-07-01 11:06:01.716,-0.004640504,-0.000963343,0.054481909,0.000972689,0.007461351,-0.000179124
1751339161.817811,2025-07-01 11:06:01.817,-0.003751992,-0.000657394,0.066876382,0.001074794,0.007656113,-3.3525e-05
