timestamp_unix,timestamp_readable,x,y,z,roll,pitch,yaw
1751339159.5990186,2025-07-01 11:05:59.599,0.0,0.0,0.0,0.0,0.0,0.0
1751339159.8007443,2025-07-01 11:05:59.800,-0.006115612,0.005342904,0.025685515,-0.000823321,-0.006191877,0.001283395
1751339160.0024383,2025-07-01 11:06:00.002,0.000345199,0.013228871,0.04813486,-0.000588853,-0.002700924,-0.00010025
1751339160.204155,2025-07-01 11:06:00.204,0.001904984,0.02158802,0.063049346,-0.001651129,-0.003307596,-0.001351281
1751339160.4058342,2025-07-01 11:06:00.405,0.0039757,0.009989492,0.081611797,1.7684e-05,-0.0037482,-0.002768074
1751339160.6075568,2025-07-01 11:06:00.607,0.001483339,0.017701207,0.098782271,-0.005656665,-0.003603314,-0.003197635
1751339160.80926,2025-07-01 11:06:00.809,0.003534187,0.021384656,0.116400808,-0.001161537,-0.001524254,0.000331955
1751339161.010984,2025-07-01 11:06:01.010,0.006878805,0.009664045,0.13832511,-0.004992299,-0.003880812,0.001604391
1751339161.2127132,2025-07-01 11:06:01.212,0.010687208,0.013101557,0.167065084,-0.002106235,-0.005083828,-0.002870688
1751339161.4143982,2025-07-01 11:06:01.414,0.009253444,0.008802388,0.189066395,-0.002920115,-0.004090503,-0.000559109
1751339161.6161008,2025-07-01 11:06:01.616,0.009328194,0.019132813,0.211160347,0.002400822,-0.002894814,-0.000208306
1751339161.817811,2025-07-01 11:06:01.817,0.01143346,0.008209412,0.236486167,-0.004362934,-0.005873368,0.001595791
1751339162.0195608,2025-07-01 11:06:02.019,0.01866639,0.006996829,0.25565362,-0.002194631,-0.004438299,-0.001420995
1751339162.221208,2025-07-01 11:06:02.221,0.019804919,0.001562634,0.277912289,-0.004819246,-0.005009123,0.001314741
1751339162.422939,2025-07-01 11:06:02.422,0.020523889,0.014486923,0.305689991,-0.006054436,-0.00707405,-0.003946382
1751339162.62463,2025-07-01 11:06:02.624,0.022949209,0.016270535,0.316678345,-0.003926572,-0.005997049,-0.006281117
1751339162.8263474,2025-07-01 11:06:02.826,0.024242813,0.02327412,0.338918388,-0.003117645,-0.010072933,-0.006685395
1751339163.0280657,2025-07-01 11:06:03.028,0.019090017,0.024827868,0.357254744,-0.004952472,-0.010220413,-0.007365135
1751339163.2297726,2025-07-01 11:06:03.229,0.028229464,0.015999708,0.374530494,-0.005284879,-0.004794035,-0.004242484
1751339163.4314616,2025-07-01 11:06:03.431,0.023200316,0.013255434,0.401740283,-0.010448065,-0.006757504,-0.003968681
1751339163.6332073,2025-07-01 11:06:03.633,0.025493035,0.016306862,0.423234254,-0.004526355,-0.008358094,-0.005417033
1751339163.834899,2025-07-01 11:06:03.834,0.030370036,0.015492733,0.440204173,-0.003852664,-0.005088813,-0.005174896
1751339164.0365708,2025-07-01 11:06:04.036,0.031642713,0.016682718,0.47137624,-0.007934328,-0.011401791,-0.004400777
1751339164.2383099,2025-07-01 11:06:04.238,0.026597539,0.008964634,0.493492514,-0.004723639,-0.009828484,-0.003391597
1751339164.4400163,2025-07-01 11:06:04.440,0.031458568,0.010888362,0.51222688,-0.008128257,-0.007057856,-0.006166498
1751339164.641717,2025-07-01 11:06:04.641,0.032933243,0.022012325,0.531241119,-0.004423913,-0.007229479,-0.00411371
1751339164.8434029,2025-07-01 11:06:04.843,0.040415101,0.01765223,0.557659447,-0.004556336,-0.010097388,-0.00629779
1751339165.0451355,2025-07-01 11:06:05.045,0.040854793,0.013693373,0.584055722,-0.008012529,-0.009237703,-0.003338409
1751339165.2468195,2025-07-01 11:06:05.246,0.040195134,0.018431431,0.612765074,-0.009751736,-0.008912768,-0.005248116
1751339165.4485397,2025-07-01 11:06:05.448,0.034946509,0.021880448,0.625320971,-0.00609101,-0.009887999,-0.004956333
1751339165.6502862,2025-07-01 11:06:05.650,0.038057841,0.006067509,0.648529887,-0.009302279,-0.010667614,-0.003513709
1751339165.8519504,2025-07-01 11:06:05.851,0.035831314,0.007514589,0.670833528,-0.009187665,-0.008993705,-0.004358354
1751339166.0536637,2025-07-01 11:06:06.053,0.039864354,0.01155446,0.694061637,-0.011626985,-0.010241921,-0.00358416
